"segId","mainAge","licenseHeld","noClaims","gender","drivers","numCars","coverType","persMiles","numClaims","numOffences","leadTime","201504-avgMonthlyEnq","201504-enqToSale","201504-enqToClick","201504-clicksPerCLicker","201504-clickToSale","201504-pctOkResults","PctCh-Enq","Ch-enqToSale","Ch-enqToClick","Ch-ClicksPerClicker","Ch-clickToSale","Ch-okResults"
1024,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","1","1: 0-5k","1: 0","1: 0","1: 0-6",3344,0.0091,0.1169,1.5824,0.1169,0.6756,-0.1459,0.0027,-0.0036,-0.2259,-0.0036,-0.1143
1025,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","1","1: 0-5k","1: 0","1: 0","2: 7-13",806,0.0006,0.0114,1.5455,0.0114,0.6718,-0.122,-0.0016,-0.0306,-0.007,-0.0306,-0.1637
1026,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","1","1: 0-5k","1: 0","1: 0","3: 14-20",544,0.0018,0.0364,1.3273,0.0364,0.6431,-0.2217,0.0009,0.0144,-0.2881,0.0144,-0.1746
1027,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","1","1: 0-5k","1: 0","1: 0","4: 21-27",448,0.0022,0.0392,1.3137,0.0392,0.6358,-0.2302,0.0022,0.0392,-0.2529,0.0392,-0.159
1028,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","1","1: 0-5k","1: 0","1: 0","5: 28+",454,0.0011,0.0169,1.4407,0.0169,0.7037,-0.4162,0.0011,0.0169,-0.0642,0.0169,-0.0301
1046,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","1","2: 5k-10k","1: 0","1: 0","1: 0-6",4266,0.0084,0.1509,1.6394,0.1509,0.8155,0.7872,0.0008,0.0043,-0.0833,0.0043,-0.0119
1047,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","1","2: 5k-10k","1: 0","1: 0","2: 7-13",1856,0.0013,0.0625,1.6,0.0625,0.8836,2.0779,-0.0003,0.0295,0.0505,0.0295,0.0273
1048,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","1","2: 5k-10k","1: 0","1: 0","3: 14-20",1397,0.0004,0.0179,1.3571,0.0179,0.893,2.5159,-0.0022,-0.0206,-0.1813,-0.0206,0.065
1049,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","1","2: 5k-10k","1: 0","1: 0","4: 21-27",584,0,0,1.3913,0,0.8554,0.7802,0,0,0.0229,0,0.0504
1050,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","1","2: 5k-10k","1: 0","1: 0","5: 28+",316,0,0,1.3774,0,0.693,-0.2133,-0.0017,-0.029,-0.2313,-0.029,-0.1053
1067,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","1","3: 10k+","1: 0","1: 0","1: 0-6",524,0.0095,0.1587,1.6984,0.1587,0.6384,0.278,0.0063,0.0962,0.0109,0.0962,-0.0356
1068,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","1","3: 10k+","1: 0","1: 0","2: 7-13",129,0.0039,0.0526,1.3158,0.0526,0.6938,0.1057,-0.0018,-0.0307,-0.4759,-0.0307,0.0195
1069,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","1","3: 10k+","1: 0","1: 0","3: 14-20",92,0,0,1.1818,0,0.6848,0.1405,0,0,-0.1932,0,-0.0797
1070,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","1","3: 10k+","1: 0","1: 0","4: 21-27",82,0,0,1.125,0,0.638,0.0449,0,0,0.125,0,-0.0115
1071,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","1","3: 10k+","1: 0","1: 0","5: 28+",94,0,0,1.25,0,0.6349,-0.248,-0.0027,-0.0385,-0.5192,-0.0385,-0.0282
1092,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","2","1: 0-5k","1: 0","1: 0","1: 0-6",448,0.0078,0.2121,1.6667,0.2121,0.5938,-0.3938,-0.0003,0.0165,0.0471,0.0165,-0.1825
1093,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","2","1: 0-5k","1: 0","1: 0","2: 7-13",72,0,0,1.5,0,0.5931,-0.3429,-0.003,-0.1667,-0.3333,-0.1667,-0.1954
1094,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","2","1: 0-5k","1: 0","1: 0","3: 14-20",56,0.0088,0.25,1.25,0.25,0.4956,-0.4879,0.0088,0.25,-0.25,0.25,-0.3473
1095,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","2","1: 0-5k","1: 0","1: 0","4: 21-27",38,0,0,1,0,0.7105,-0.5476,0,0,-0.2857,0,-0.0395
1096,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","2","1: 0-5k","1: 0","1: 0","5: 28+",47,0,0,1.3333,0,0.5426,-0.7111,0,0,-0.5238,0,-0.1747
1112,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","2","2: 5k-10k","1: 0","1: 0","1: 0-6",308,0.013,0.2581,1.5484,0.2581,0.7463,-0.1793,0.0059,0.0762,0.3666,0.0762,-0.057
1113,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","2","2: 5k-10k","1: 0","1: 0","2: 7-13",77,0,0,1.5,0,0.7468,-0.087,0,0,0.1842,0,-0.1702
1114,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","2","2: 5k-10k","1: 0","1: 0","3: 14-20",56,0,0,1,0,0.8378,-0.054,0,0,-0.125,0,-0.0201
1115,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","2","2: 5k-10k","1: 0","1: 0","4: 21-27",20,0,0,1,0,0.7,-0.5775,0,0,-0.6667,0,-0.1944
1116,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","2","2: 5k-10k","1: 0","1: 0","5: 28+",24,0,0,1.5,0,0.6596,-0.5901,-0.0058,-0.2,0.1,-0.2,-0.2009
1133,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","2","3: 10k+","1: 0","1: 0","1: 0-6",63,0,0,1,0,0.6587,-0.1085,-0.0094,-0.2222,-0.5556,-0.2222,-0.1762
1153,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","3","1: 0-5k","1: 0","1: 0","1: 0-6",286,0.0052,0.1765,1.1176,0.1765,0.2705,-0.1937,0.0043,0.0856,-0.1551,0.0856,-0.1113
1154,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","3","1: 0-5k","1: 0","1: 0","2: 7-13",52,0,0,0,0,0.2788,-0.3953,0,0,-1.8,0,-0.1359
1155,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","3","1: 0-5k","1: 0","1: 0","3: 14-20",35,0,0,1.25,0,0.3286,-0.5249,0,0,-0.25,0,-0.0832
1156,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","3","1: 0-5k","1: 0","1: 0","4: 21-27",40,0,0,1.5,0,0.275,-0.2547,0,0,0.5,0,-0.0293
1157,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","3","1: 0-5k","1: 0","1: 0","5: 28+",35,0,0,1,0,0.4286,-0.5914,0,0,-0.25,0,0.0939
1174,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","3","2: 5k-10k","1: 0","1: 0","1: 0-6",140,0.0036,0.2,1,0.2,0.3082,-0.0942,0.0014,0.0889,-1.4444,0.0889,-0.1355
1175,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","3","2: 5k-10k","1: 0","1: 0","2: 7-13",48,0,0,2,0,0.5464,0.399,0,0,1,0,0.181
1176,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","3","2: 5k-10k","1: 0","1: 0","3: 14-20",24,0,0,0,0,0.3191,-0.1076,0,0,-1,0,-0.1998
1178,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","3","2: 5k-10k","1: 0","1: 0","5: 28+",24,0,0,1,0,0.1915,-0.3349,0,0,1,0,-0.2142
1194,"1: 17-18","1: 0-4","1: 0","1","1: 1","1: 1","3","3: 10k+","1: 0","1: 0","1: 0-6",46,0.011,1,1,1,0.2637,0.1375,0.011,1,1,1,-0.2279
1217,"1: 17-18","1: 0-4","1: 0","1","1: 1","2: >1","1","1: 0-5k","1: 0","1: 0","1: 0-6",6660,0.0167,0.1727,1.605,0.1727,0.7664,-0.2545,0.0064,0.0146,-0.126,0.0146,-0.0811
1218,"1: 17-18","1: 0-4","1: 0","1","1: 1","2: >1","1","1: 0-5k","1: 0","1: 0","2: 7-13",1654,0.0015,0.0213,1.5872,0.0213,0.7751,-0.3526,-0.0008,-0.0158,-0.1021,-0.0158,-0.0709
1219,"1: 17-18","1: 0-4","1: 0","1","1: 1","2: >1","1","1: 0-5k","1: 0","1: 0","3: 14-20",1072,0.0028,0.0411,1.7397,0.0411,0.7705,-0.4063,-0.0003,-0.019,0.192,-0.019,-0.0822
