"segId","mainAge","licenseHeld","noClaims","gender","drivers","numCars","coverType","persMiles","numClaims","numOffences","leadTime","201504-avgMonthlyEnq","201504-enqToSale","201504-enqToClick","201504-clicksPerCLicker","201504-clickToSale","201504-pctOkResults","PctCh-Enq","Ch-enqToSale","Ch-enqToClick","Ch-ClicksPerClicker","Ch-clickToSale","Ch-okResults"
107752,"9: 61-80","4: 20+","2: 1-4","1","1: 1","1: 1","1","1: 0-5k","1: 0","1: 0","4: 21-27",44,0.1023,0.4286,2.4762,0.4286,1,0.4831,-0.055,-0.1801,0.6066,-0.1801,0.0112
64797,"7: 41-50","1: 0-4","2: 1-4","2","1: 1","1: 1","1","3: 10k+","1: 0","1: 0","5: 28+",36,0,0,6.5,0,1,-0.1098,-0.0081,-0.2,4.5,-0.2,0.0163
61430,"6: 31-40","4: 20+","3: 5-9","2","2: 2+","2: >1","1","3: 10k+","1: 0","1: 0","1: 0-6",54,0.1121,0.5,1.6667,0.5,0.9907,-0.1975,-0.0179,0.0439,-0.2632,0.0439,-0.0043
110865,"9: 61-80","4: 20+","4: 10+","1","2: 2+","2: >1","1","2: 5k-10k","1: 0","2: 1+","1: 0-6",188,0.141,0.4732,1.6339,0.4732,0.9761,0.2234,-0.0239,-0.0018,-0.6348,-0.0018,0.0194
54532,"6: 31-40","3: 10-19","3: 5-9","1","1: 1","1: 1","1","2: 5k-10k","2: 1+","1: 0","1: 0-6",548,0.083,0.3856,1.6483,0.3856,0.9954,0.4851,-0.0235,-0.0547,-0.2771,-0.0547,0.0126
19182,"4: 23-25","1: 0-4","2: 1-4","2","2: 2+","1: 1","1","2: 5k-10k","1: 0","1: 0","4: 21-27",90,0.0389,0.2917,1.8333,0.2917,0.9278,0.4286,0.0124,0.1131,0.2976,0.1131,-0.0722
56263,"6: 31-40","3: 10-19","4: 10+","1","1: 1","2: >1","1","1: 0-5k","2: 1+","1: 0","1: 0-6",150,0.0897,0.4655,2.069,0.4655,0.9801,0.5569,0.0173,0.1155,0.119,0.1155,-0.0027
79766,"7: 41-50","4: 20+","3: 5-9","1","1: 1","1: 1","1","3: 10k+","1: 0","2: 1+","1: 0-6",73,0.1096,0.4324,2,0.4324,0.9932,-0.1412,-0.0394,-0.0953,0.3056,-0.0953,0.0284
53769,"6: 31-40","3: 10-19","2: 1-4","2","1: 1","1: 1","1","1: 0-5k","2: 1+","2: 1+","1: 0-6",35,0.1429,0.3333,1.9333,0.3333,1,-0.0455,0.061,-0.0267,-0.2667,-0.0267,0.0545
53945,"6: 31-40","3: 10-19","2: 1-4","2","1: 1","2: >1","1","1: 0-5k","1: 0","1: 0","3: 14-20",36,0.0563,0.2857,1.5,0.2857,0.9718,0.4013,-0.0621,-0.1234,-1.4545,-0.1234,-0.0282
43681,"6: 31-40","1: 0-4","2: 1-4","2","1: 1","1: 1","1","1: 0-5k","2: 1+","1: 0","2: 7-13",38,0.026,0.1176,1.5882,0.1176,1,0.7239,-0.0487,-0.3369,-0.5027,-0.3369,0.0299
52872,"6: 31-40","3: 10-19","1: 0","2","2: 2+","2: >1","2","2: 5k-10k","1: 0","1: 0","1: 0-6",58,0.0431,0.4167,1.6667,0.4167,0.9741,-0.2127,0.0205,0.0595,-0.1905,0.0595,-0.0032
94022,"8: 51-60","4: 20+","1: 0","1","2: 2+","1: 1","1","3: 10k+","1: 0","1: 0","1: 0-6",48,0.0417,0.3333,1.5833,0.3333,0.9583,-0.0336,-0.0389,-0.1282,-0.2244,-0.1282,0.0254
22484,"4: 23-25","2: 5-9","2: 1-4","1","1: 1","1: 1","1","2: 5k-10k","1: 0","1: 0","2: 7-13",351,0.0199,0.2188,1.625,0.2188,0.9957,0.0509,-0.012,-0.1181,-0.0276,-0.1181,0.0177
99146,"8: 51-60","4: 20+","4: 10+","2","2: 2+","2: >1","1","1: 0-5k","1: 0","2: 1+","4: 21-27",48,0.0833,0.4,2.2,0.4,0.9583,-0.1,-0.0479,-0.0773,0.1545,-0.0773,-0.0229
55501,"6: 31-40","3: 10-19","3: 5-9","2","1: 1","2: >1","1","1: 0-5k","2: 1+","1: 0","1: 0-6",110,0.095,0.375,1.5179,0.375,1,-0.0015,-0.0285,-0.125,-0.3114,-0.125,0.0181
55167,"6: 31-40","3: 10-19","3: 5-9","1","2: 2+","2: >1","1","3: 10k+","2: 1+","1: 0","1: 0-6",202,0.1191,0.5161,1.5591,0.5161,0.9975,0.0369,0.0008,0.071,-0.0796,0.071,0.0438
56873,"6: 31-40","3: 10-19","4: 10+","2","1: 1","1: 1","1","2: 5k-10k","2: 1+","1: 0","1: 0-6",172,0.1159,0.4348,1.7065,0.4348,1,0.3135,-0.0338,-0.092,-0.231,-0.092,0.033
