"Credit Card Type","Credit Card","Employment Status","Residential Status","Age Range","Income Range (k)","Volume","Likelihood Score"
"Balance Transfer","MBNA Low Rate*","Part time","Homeowner",50,10,572,0
"Balance Transfer","Lloyds Platinum Low Rate*","Part time","Homeowner",50,10,398,0
"Balance Transfer","Halifax Low Rate*","Part time","Homeowner",50,10,407,0
"Balance Transfer","Post Office*","Part time","Homeowner",50,10,322,0
"Balance Transfer","Santander*","Part time","Homeowner",50,10,92,0
"Balance Transfer","MBNA Low Rate*","Self Employed","Homeowner",50,50,236,0
"Balance Transfer","Lloyds Platinum Low Rate*","Self Employed","Homeowner",50,50,45,0.5
"Balance Transfer","Halifax Low Rate*","Self Employed","Homeowner",50,50,45,0.5
"Balance Transfer","Post Office*","Self Employed","Homeowner",50,50,114,0
"Balance Transfer","Santander*","Self Employed","Homeowner",50,50,36,0.95
"Balance Transfer","MBNA Low Rate*","Homemaker","Council Tenant",40,20,264,0
"Balance Transfer","Lloyds Platinum Low Rate*","Homemaker","Council Tenant",40,20,114,0
"Balance Transfer","Halifax Low Rate*","Homemaker","Council Tenant",40,20,116,0
"Balance Transfer","Post Office*","Homemaker","Council Tenant",40,20,136,0
"Balance Transfer","Santander*","Homemaker","Council Tenant",40,20,24,0
"Balance Transfer","MBNA Low Rate*","Full time","Private Tenant",30,20,972,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",30,20,610,0.5
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",30,20,624,0.5
"Balance Transfer","Post Office*","Full time","Private Tenant",30,20,2666,0
"Balance Transfer","Santander*","Full time","Private Tenant",30,20,350,0.9
"Balance Transfer","MBNA Low Rate*","Full time","Private Tenant",40,30,5508,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",40,30,280,0.9
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",40,30,286,0.9
"Balance Transfer","Post Office*","Full time","Private Tenant",40,30,3537,0
"Balance Transfer","Santander*","Full time","Private Tenant",40,30,596,0
"Balance Transfer","Halifax Low Rate*","Part time","Homeowner",40,30,20,0.3
"Balance Transfer","MBNA Low Rate*","Part time","Homeowner",40,30,578,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Part time","Homeowner",40,30,18,0.3
"Balance Transfer","Post Office*","Part time","Homeowner",40,30,40,0.7
"Balance Transfer","Santander*","Part time","Homeowner",40,30,56,0.2
"Balance Transfer","MBNA Low Rate*","Full time","Private Tenant",50,40,1272,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",50,40,157,0.5
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",50,40,162,0.5
"Balance Transfer","Post Office*","Full time","Private Tenant",50,40,874,0
"Balance Transfer","Santander*","Full time","Private Tenant",50,40,376,0.95
"Balance Transfer","MBNA Low Rate*","Self Employed","Homeowner",50,40,452,0
"Balance Transfer","Lloyds Platinum Low Rate*","Self Employed","Homeowner",50,40,121,0
"Balance Transfer","Halifax Low Rate*","Self Employed","Homeowner",50,40,126,0
"Balance Transfer","Post Office*","Self Employed","Homeowner",50,40,207,0
"Balance Transfer","Santander*","Self Employed","Homeowner",50,40,74,0.95
"Balance Transfer","MBNA Low Rate*","Homemaker","Council Tenant",30,10,72,0
"Balance Transfer","Lloyds Platinum Low Rate*","Homemaker","Council Tenant",30,10,21,0
"Balance Transfer","Halifax Low Rate*","Homemaker","Council Tenant",30,10,22,0
"Balance Transfer","Post Office*","Homemaker","Council Tenant",30,10,37,0
"Balance Transfer","Halifax Low Rate*","Retired","Homeowner",70,30,400,0.2
"Balance Transfer","MBNA Low Rate*","Retired","Homeowner",70,30,606,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Retired","Homeowner",70,30,383,0.2
"Balance Transfer","Post Office*","Retired","Homeowner",70,30,260,0.4
"Balance Transfer","Santander*","Retired","Homeowner",70,30,124,0.2
"Balance Transfer","MBNA Low Rate*","Full time","Private Tenant",30,40,568,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",30,40,383,0.2
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",30,40,394,0.2
"Balance Transfer","Post Office*","Full time","Private Tenant",30,40,1007,0
"Balance Transfer","Santander*","Full time","Private Tenant",30,40,564,0.95
"Balance Transfer","MBNA Low Rate*","Full time","Private Tenant",40,40,1216,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",40,40,406,0.5
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",40,40,409,0.5
"Balance Transfer","Post Office*","Full time","Private Tenant",40,40,2133,0
"Balance Transfer","Santander*","Full time","Private Tenant",40,40,888,0.95
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",50,30,5228,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",50,30,3391,0.2
