"ProductType","Product","AgeRange","IncomeRange","EmploymentStatus","ResidentialStatus","LikelihoodScore","total"
"Balance Transfer","MBNA Low Rate*","(40,50]","10k","Part time","Homeowner",0,572
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","10k","Part time","Homeowner",0,398
"Balance Transfer","Halifax Low Rate*","(40,50]","10k","Part time","Homeowner",0,407
"Balance Transfer","Post Office*","(40,50]","10k","Part time","Homeowner",0,322
"Balance Transfer","Santander*","(40,50]","10k","Part time","Homeowner",0,92
"Balance Transfer","MBNA Low Rate*","(40,50]","50k","Self Employed","Homeowner",0,236
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","50k","Self Employed","Homeowner",0.5,45
"Balance Transfer","Halifax Low Rate*","(40,50]","50k","Self Employed","Homeowner",0.5,45
"Balance Transfer","Post Office*","(40,50]","50k","Self Employed","Homeowner",0,114
"Balance Transfer","Santander*","(40,50]","50k","Self Employed","Homeowner",0.95,36
"Balance Transfer","MBNA Low Rate*","(30,40]","20k","Homemaker","Council Tenant",0,264
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","20k","Homemaker","Council Tenant",0,114
"Balance Transfer","Halifax Low Rate*","(30,40]","20k","Homemaker","Council Tenant",0,116
"Balance Transfer","Post Office*","(30,40]","20k","Homemaker","Council Tenant",0,136
"Balance Transfer","Santander*","(30,40]","20k","Homemaker","Council Tenant",0,24
"Balance Transfer","MBNA Low Rate*","(20,30]","20k","Full time","Private Tenant",0.1,972
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","20k","Full time","Private Tenant",0.5,610
"Balance Transfer","Halifax Low Rate*","(20,30]","20k","Full time","Private Tenant",0.5,624
"Balance Transfer","Post Office*","(20,30]","20k","Full time","Private Tenant",0,2666
"Balance Transfer","Santander*","(20,30]","20k","Full time","Private Tenant",0.9,350
"Balance Transfer","MBNA Low Rate*","(30,40]","30k","Full time","Private Tenant",0,5508
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","30k","Full time","Private Tenant",0.9,280
"Balance Transfer","Halifax Low Rate*","(30,40]","30k","Full time","Private Tenant",0.9,286
"Balance Transfer","Post Office*","(30,40]","30k","Full time","Private Tenant",0,3537
"Balance Transfer","Santander*","(30,40]","30k","Full time","Private Tenant",0,596
"Balance Transfer","Halifax Low Rate*","(30,40]","30k","Part time","Homeowner",0.3,20
"Balance Transfer","MBNA Low Rate*","(30,40]","30k","Part time","Homeowner",0.1,578
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","30k","Part time","Homeowner",0.3,18
"Balance Transfer","Post Office*","(30,40]","30k","Part time","Homeowner",0.7,40
"Balance Transfer","Santander*","(30,40]","30k","Part time","Homeowner",0.2,56
"Balance Transfer","MBNA Low Rate*","(40,50]","40k","Full time","Private Tenant",0,1272
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","40k","Full time","Private Tenant",0.5,157
"Balance Transfer","Halifax Low Rate*","(40,50]","40k","Full time","Private Tenant",0.5,162
"Balance Transfer","Post Office*","(40,50]","40k","Full time","Private Tenant",0,874
"Balance Transfer","Santander*","(40,50]","40k","Full time","Private Tenant",0.95,376
"Balance Transfer","MBNA Low Rate*","(40,50]","40k","Self Employed","Homeowner",0,452
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","40k","Self Employed","Homeowner",0,121
"Balance Transfer","Halifax Low Rate*","(40,50]","40k","Self Employed","Homeowner",0,126
"Balance Transfer","Post Office*","(40,50]","40k","Self Employed","Homeowner",0,207
"Balance Transfer","Santander*","(40,50]","40k","Self Employed","Homeowner",0.95,74
"Balance Transfer","MBNA Low Rate*","(20,30]","10k","Homemaker","Council Tenant",0,72
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","10k","Homemaker","Council Tenant",0,21
"Balance Transfer","Halifax Low Rate*","(20,30]","10k","Homemaker","Council Tenant",0,22
"Balance Transfer","Post Office*","(20,30]","10k","Homemaker","Council Tenant",0,37
"Balance Transfer","Halifax Low Rate*","(60,70]","30k","Retired","Homeowner",0.2,400
"Balance Transfer","MBNA Low Rate*","(60,70]","30k","Retired","Homeowner",0.1,606
