Product,Income(k),LikelihoodScore,total
MBNA Low Rate*,10,0,572
Lloyds Platinum Low Rate*,10,0,398
Halifax Low Rate*,10,0,407
Post Office*,10,0,322
Santander*,10,0,92
MBNA Low Rate*,50,0,236
Lloyds Platinum Low Rate*,50,0.5,45
Halifax Low Rate*,50,0.5,45
Post Office*,50,0,114
Santander*,50,0.95,36
MBNA Low Rate*,20,0,264
Lloyds Platinum Low Rate*,20,0,114
Halifax Low Rate*,20,0,116
Post Office*,20,0,136
Santander*,20,0,24
MBNA Low Rate*,20,0.1,972
Lloyds Platinum Low Rate*,20,0.5,610
Halifax Low Rate*,20,0.5,624
Post Office*,20,0,2666
Santander*,20,0.9,350
MBNA Low Rate*,30,0,5508
Lloyds Platinum Low Rate*,30,0.9,280
Halifax Low Rate*,30,0.9,286
Post Office*,30,0,3537
Santander*,30,0,596
Halifax Low Rate*,30,0.3,20
MBNA Low Rate*,30,0.1,578
Lloyds Platinum Low Rate*,30,0.3,18
